04.07 12:00 17:00  (05:00)
24.07 10:00 17:00  (07:00)
15.09 14:22 19:45  (05:23)
12.05 09:30 16:45  (07:15)
28.06 18:10 22:30  (04:20)
05.03 08:45 16:30  (07:45)
17.11 11:20 18:40  (07:20)
20.01 13:15 19:30  (06:15)
08.04 10:30 15:20  (04:50)
11.12 16:40 21:15  (04:35)
29.09 08:00 15:30  (07:30)
06.08 14:55 20:10  (05:15)
22.05 09:20 17:45  (08:25)
14.02 11:45 18:15  (06:30)
03.10 13:10 18:55  (05:45)
09.08 14:00 18:30  (04:30)
27.03 08:30 16:00  (07:30)
10.06 12:15 18:45  (06:30)
19.04 09:45 15:30  (05:45)
07.11 15:20 21:00  (05:40)
13.02 11:00 17:30  (06:30)
25.12 13:45 19:15  (05:30)
02.09 09:00 15:45  (06:45)
30.08 10:15 17:30  (07:15)
16.05 15:40 21:10  (05:30)
21.03 08:15 15:45  (07:30)
18.07 12:30 17:45  (05:15)
01.04 14:10 19:00  (04:50)
23.11 10:45 18:15  (07:30)
26.10 11:30 17:15  (05:45)
05.06 16:20 22:00  (05:40)
14.09 13:35 19:45  (06:10)
08.12 10:30 16:45  (06:15)
03.02 09:10 16:30  (07:20)
20.05 15:00 20:30  (05:30)
09.11 08:40 16:15  (07:35)
12.10 14:45 21:30  (06:45)
17.08 11:20 18:00  (06:40)
30.01 13:55 19:30  (05:35)
06.04 09:30 17:00  (07:30)
22.07 12:15 18:45  (06:30)
19.03 14:00 19:30  (05:30)
15.12 10:45 17:15  (06:30)
13.12 12:30 18:45  (06:15)
31.02 08:00 17:45  (09:45)
07.07 10:45 24:00  (13:15)
